caption,Q,A
"Generate an image with an abnormality with the colors pink, red and white.",What is the color of the abnormality?,"The abnormality has pink, red, and white colors."
Generate an image from a gastroscopy procedure.,What type of procedure is depicted in the image?,A gastroscopy procedure
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality?,"The abnormality is located in multiple areas, including the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-left, center-right, lower-center, lower-left and lower-rigth.",What is the location of the anatomical landmark?,"The anatomical landmark is located in the center, center-left, center-right, lower-center, lower-left, and lower-right."
Generate an image containing oesophagitis.,What is the condition depicted in this image?,Oesophagitis
Generate an image containing the z-line.,What is the feature visible in the image?,The z-line is visible.
Generate an image with 2 findings.,How many findings are visible in the image?,There are 2 findings.
Generate an image with no instruments.,What can be seen in the image?,There are no instruments visible.
Generate an image with no polyps.,What is the condition of the endoscopic examination?,The examination is normal with no polyps detected.
Generate an image containing a green/black box artefact.,What is the color of the box artefact in the image?,The box artefact is green/black.
Generate an image containing text.,Is there text in the image?,Yes
"Generate an image with an abnormality with the colors pink, red and white.",What is the characteristic color of the abnormality in the image?,"The abnormality in the image has a pink, red, and white color."
Generate an image from a gastroscopy procedure.,What type of procedure is shown in the image?,Gastroscopy
"Generate an image with an an abnormality located in the center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center and lower-center.",What is the location of the abnormality in the image?,"The abnormality is located at multiple positions, including center, upper-left, upper-right, lower-left, lower-right, center-left, center-right, upper-center, and lower-center."
"Generate an image with an an anatomical landmark located in the center, center-right, upper-center, upper-right and lower-center.",What anatomical landmarks are visible in the image?,"The anatomical landmarks visible in the image are located in the center, center-right, upper-center, upper-right, and lower-center."
